item,details
analysis,Canonical five-input composite fnecC Sobol GSA
n_base,4096
num_vars,5
sampler,SALib.sample.sobol.sample
seed,1234
sampling_space,Independent unit-hypercube Sobol coordinates
marginal_mapping,Each coordinate transformed independently through its empirical marginal from fnecC5_lhs.csv
GS_MS_constraint,None; GS is NOT constrained to be >= MS
rB_correction,None
composite_NB,NB = CFB * MS
composite_NF,NF = CFF * GS
raw_output,fnecC_raw = 100*(NB + NF)/S
sobol_targets,"Raw fnecC and fnecC_bounded = min(fnecC_raw, 100)"
main_text_target,"Raw, unbounded fnecC"
robustness_target,fnecC bounded at 100% of SOC
appendix_location,Raw-versus-bounded comparison reported in Appendix C
row_filtering,None; complete Sobol matrix retained
